team name,player name,games,wins,win percentage,score,score per game,goals,goals per game,assists,assists per game,saves,saves per game,shots,shots per game,shots conceded,shots conceded per game,goals conceded,goals conceded per game,goals conceded while last defender,goals conceded while last defender per game,shooting percentage,bpm per game,avg boost amount per game,amount collected,amount collected per game,amount collected big pads,amount collected big pads per game,amount collected small pads,amount collected small pads per game,count collected big pads,count collected big pads per game,count collected small pads,count collected small pads per game,amount stolen,amount stolen per game,amount stolen big pads,amount stolen big pads per game,amount stolen small pads,amount stolen small pads per game,count stolen big pads,count stolen big pads per game,count stolen small pads,count stolen small pads per game,0 boost time,0 boost time per game,100 boost time,100 boost time per game,amount used while supersonic,amount used while supersonic per game,amount overfill total,amount overfill total per game,amount overfill stolen,amount overfill stolen per game,avg speed per game,total distance,total distance per game,time slow speed,time slow speed per game,time boost speed,time boost speed per game,time supersonic speed,time supersonic speed per game,time on ground,time on ground per game,time low in air,time low in air per game,time high in air,time high in air per game,time powerslide,time powerslide per game,avg powerslide time per game,count powerslide,count powerslide per game,time most back,time most back per game,time most forward,time most forward per game,time in front of ball,time in front of ball per game,time behind ball,time behind ball per game,time defensive half,time defensive half per game,time offensive half,time offensive half per game,time defensive third,time defensive third per game,time neutral third,time neutral third per game,time offensive third,time offensive third per game,demos inflicted,demos inflicted per game,demos taken,demos taken per game
CLUELESS,Alex,53,24,45.28,26623,502.32,64,1.21,35,0.66,88,1.66,186,3.51,397,7.49,142,2.68,72,1.36,34.41,405.81,51.2,126885,2394.06,98812,1864.38,28073,529.68,1217,22.96,2448,46.19,26111,492.66,17731,334.55,8380,158.11,218,4.11,716,13.51,2250.6,42.46,1786.08,33.7,14534,274.23,20809,392.62,3516,66.34,1589.75,28932862,545903.06,8236.3,155.4,8023.61,151.39,3168.64,59.79,10363.58,195.54,8202.85,154.77,862.12,16.27,473,8.92,0.1,4547,85.79,6409.8,120.94,6476.1,122.19,4842.66,91.37,14585.93,275.21,12906.6,243.52,6521.96,123.06,9921.72,187.2,5600.43,105.67,3906.44,73.71,50,0.94,36,0.68
EPIC GAMERS,Bandit,1,1,100.00,0,0,0,0,0,0,0,0,0,0,9,9,2,2,0,0,0,260,43.66,116,116,100,100,16,16,1,1,2,2,16,16,0,0,16,16,0,0,2,2,12.91,12.91,0.11,0.11,31,31,0,0,0,0,1367,44487,44487,20.95,20.95,11.27,11.27,0.46,0.46,30.05,30.05,2.64,2.64,0,0,0.22,0.22,0.22,1,1,11.2,11.2,7.6,7.6,6.41,6.41,26.28,26.28,20.75,20.75,11.94,11.94,16.1,16.1,9.28,9.28,7.31,7.31,0,0,0,0
EPIC GAMERS,Bo$$-key-yacht$,52,32,61.54,28220,542.69,92,1.77,32,0.62,71,1.37,232,4.46,385,7.4,133,2.56,44,0.85,39.66,440.83,47.13,136676,2628.38,102616,1973.38,34060,655,1225,23.56,2874,55.27,33525,644.71,22530,433.27,10995,211.44,264,5.08,914,17.58,2989.97,57.5,1602.21,30.81,24373,468.71,19663,378.13,3696,71.08,1664.55,29715156,571445.31,7178.11,138.04,7461.22,143.48,4492.76,86.4,9715.22,186.83,8490.66,163.28,926.12,17.81,393.54,7.57,0.1,3965,76.25,5256.7,101.09,7441.5,143.11,5488.26,105.54,13643.8,262.38,11898.17,228.81,7233.82,139.11,8853.75,170.26,5870.03,112.89,4408.26,84.77,63,1.21,39,0.75
THE RELIABLE 3RD,Brictone,52,24,46.15,13024,250.46,29,0.56,17,0.33,39,0.75,92,1.77,347,6.67,109,2.1,39,0.75,31.52,351.19,45.75,104932,2017.92,64066,1232.04,40866,785.88,780,15,3549,68.25,24426,469.73,12904,248.15,11522,221.58,160,3.08,996,19.15,1845.3,35.49,1168.87,22.48,13468,259,12960,249.23,2862,55.04,1509.64,25878408,497661.69,8462.05,162.73,7790.61,149.82,1849.72,35.57,11339.86,218.07,6170.55,118.66,591.98,11.38,333.14,6.41,0.11,2981,57.33,5145.2,98.95,6528.5,125.55,5644.54,108.55,12457.85,239.57,11687.18,224.75,6415.25,123.37,8475.95,163,5898.66,113.44,3727.83,71.69,25,0.48,40,0.77
BBQ PRINGLES,"Chyaboi""!",44,18,40.91,18829,427.93,54,1.23,18,0.41,64,1.45,154,3.5,321,7.3,115,2.61,49,1.11,35.06,395.56,49.04,98857,2246.75,73092,1661.18,25765,585.57,886,20.14,2168,49.27,21471,487.98,14399,327.25,7072,160.73,172,3.91,604,13.73,1525.09,34.66,1726.7,39.24,9661,219.57,13276,301.73,1699,38.61,1492.69,21807420,495623.19,7521.62,170.95,6106.49,138.78,1919.97,43.64,8825.85,200.59,6004.98,136.48,717.26,16.3,333.28,7.57,0.12,2761,62.75,4953.1,112.57,5020,114.09,4080.84,92.75,11467.19,260.62,10333.35,234.85,5214.78,118.52,7836.63,178.11,4596.32,104.46,3115.16,70.8,62,1.41,41,0.93
INFINITE ISSUES,Durian,51,17,33.33,13917,272.88,16,0.31,14,0.27,91,1.78,66,1.29,426,8.35,133,2.61,50,0.98,24.24,328.44,53.44,98548,1932.31,73154,1434.39,25394,497.92,861,16.88,2198,43.1,10343,202.8,6200,121.57,4143,81.24,76,1.49,371,7.27,1463.93,28.7,2987.93,58.59,6183,121.24,13046,255.8,1317,25.82,1391.29,23896280,468554.5,10362.83,203.19,6466.1,126.79,1359.14,26.65,12285.51,240.89,5482.5,107.5,420.09,8.24,658.94,12.92,0.14,4772,93.57,7694,150.86,4652.8,91.23,4239.9,83.14,13948.22,273.49,14107.07,276.61,4081.02,80.02,11123.59,218.11,4868.69,95.46,2195.82,43.06,23,0.45,28,0.55
TEAM GEORGE,Fernado,44,20,45.45,15498,352.23,35,0.8,24,0.55,48,1.09,115,2.61,308,7,112,2.55,35,0.8,30.43,398.09,46.67,102036,2319,69056,1569.45,32980,749.55,800,18.18,2865,65.11,22695,515.8,13430,305.23,9265,210.57,160,3.64,814,18.5,2711.03,61.61,1206.52,27.42,15887,361.07,9652,219.36,1953,44.39,1616.05,23994652,545333,6328.67,143.83,6361.2,144.57,3113.69,70.77,8714.34,198.05,6397.27,145.39,691.88,15.72,387.73,8.81,0.1,3737,84.93,4663.1,105.98,5539.4,125.9,4852.77,110.29,10950.7,248.88,9952.38,226.19,5851.1,132.98,7281.99,165.5,5028.97,114.29,3492.54,79.38,53,1.2,44,1
PEPPA PIGS,Goofy,26,14,53.85,10391,399.65,30,1.15,12,0.46,27,1.04,97,3.73,152,5.85,49,1.88,17,0.65,30.93,415.33,49.44,60439,2324.58,48787,1876.42,11652,448.15,575,22.12,1013,38.96,10599,407.65,6575,252.88,4024,154.77,73,2.81,354,13.62,1409.35,54.21,894.98,34.42,6854,263.62,7337,282.19,664,25.54,1559.17,13193475,507441.34,3849.94,148.07,4000.44,153.86,1133.78,43.61,5094.3,195.93,3518.85,135.34,370.99,14.27,235.41,9.05,0.1,2369,91.12,2880.5,110.79,2968.5,114.17,2286.87,87.96,6697.32,257.59,5558.29,213.78,3425.87,131.76,4157.15,159.89,2758.62,106.1,2068.4,79.55,23,0.88,20,0.77
PEPPA PIGS,Goofy,24,13,54.17,10679,444.96,30,1.25,13,0.54,35,1.46,93,3.88,164,6.83,58,2.42,26,1.08,32.26,406.46,49.37,57693,2403.88,47166,1965.25,10527,438.62,563,23.46,920,38.33,9391,391.29,6298,262.42,3093,128.88,69,2.88,264,11,1392.7,58.03,904.09,37.67,5062,210.92,7524,313.5,573,23.88,1555.43,12901237,537551.56,3821.7,159.24,3945.38,164.39,1051.44,43.81,5018.82,209.12,3418.81,142.45,380.86,15.87,242.66,10.11,0.11,2240,93.33,2752.3,114.68,2808.3,117.01,2392.39,99.68,6426.04,267.75,5657.51,235.73,3160.96,131.71,4257.77,177.41,2678.05,111.59,1882.64,78.44,14,0.58,21,0.88
UC SALTY SHORES,Graham Cracker,51,25,49.02,17030,333.92,37,0.73,33,0.65,52,1.02,116,2.27,361,7.08,118,2.31,38,0.75,31.9,365.2,48.84,110638,2169.37,79203,1553,31435,616.37,929,18.22,2705,53.04,19627,384.84,11273,221.04,8354,163.8,134,2.63,709,13.9,2145.06,42.06,1822.45,35.73,13443,263.59,13762,269.84,2208,43.29,1553.63,26844848,526369.56,7970.19,156.28,8030.42,157.46,2335.96,45.8,10589.84,207.64,7032.75,137.9,713.94,14,433.1,8.49,0.12,3666,71.88,6172.6,121.03,5885.9,115.41,5004.44,98.13,13332.18,261.42,12090.19,237.06,6246.35,122.48,9111.52,178.66,5534.09,108.51,3690.92,72.37,47,0.92,45,0.88
