index,participant,win rate,Overall,Offense,Defense,Aggression,Speed,discord_username,playercard_name,img_filepath,rank
0,nsdlakers4,0.62,99.0,74.72,71.28,96.18,100.0,Shaunch#6025,Nsdlakers4,C:/Users/Q's/Python Stuff/Triton-Replay-Bot/TritonRL-ScoreBot/assets/playercard_imgs/Shaunch#6025.png,Grand Champion II
1,reuben,0.6,98.46,100.0,100.0,66.89,71.52,N/A,N/A,N/A,N/A
2,ix mini,0.54,97.77,80.43,62.44,100.0,90.71,N/A,N/A,N/A,N/A
3,boi,0.49,91.77,68.7,57.35,91.17,74.3,Chyaboi#0999,Chyaboi,C:/Users/Q's/Python Stuff/Triton-Replay-Bot/TritonRL-ScoreBot/assets/playercard_imgs/Chyaboi#0999.png,Grand Champion III
4,ix solo,0.4,85.73,70.83,55.79,60.39,62.2,N/A,N/A,N/A,N/A
5,kyles,0.33,85.04,55.5,64.77,67.25,56.79,N/A,N/A,N/A,N/A
6,hotshot,0.38,84.62,61.57,41.85,70.7,67.3,N/A,N/A,N/A,N/A
7,ix commanderboy,0.53,83.76,52.2,39.76,80.23,63.18,CommanderBoy#6172,CommanderBoy,C:/Users/Q's/Python Stuff/Triton-Replay-Bot/TritonRL-ScoreBot/assets/playercard_imgs/CommanderBoy#6172.png,Grand Champion II
8,terminator,0.58,81.8,54.65,36.2,72.12,58.62,Terminator#6072,Terminator,C:/Users/Q's/Python Stuff/Triton-Replay-Bot/TritonRL-ScoreBot/assets/playercard_imgs/Terminator#6072.png,Grand Champion I
9,beluga rl,0.42,81.58,49.97,51.4,63.07,55.64,N/A,N/A,N/A,N/A
10,dreamz,0.54,81.4,45.08,61.03,53.46,59.25,DreamZ#3433,DreamZ,C:/Users/Q's/Python Stuff/Triton-Replay-Bot/TritonRL-ScoreBot/assets/playercard_imgs/DreamZ#3433.png,N/A
11,minimug,0.33,80.96,36.93,57.34,50.97,70.47,N/A,N/A,N/A,N/A
12,honesty,0.6,79.9,58.68,22.97,66.56,60.12,Honesty#9055,Honesty,N/A,N/A
13,kenthesilencer,0.62,78.75,44.13,32.3,53.98,69.86,Silencer#2801,Silencer,C:/Users/Q's/Python Stuff/Triton-Replay-Bot/TritonRL-ScoreBot/assets/playercard_imgs/Silencer#2801.png,Grand Champion I
14,caden the fish fisher,0.49,78.04,43.05,63.37,37.74,51.15,Caden The Cod Catcher#4918,Cadenthefishfisher,C:/Users/Q's/Python Stuff/Triton-Replay-Bot/TritonRL-ScoreBot/assets/playercard_imgs/Caden The Cod Catcher#4918.png,N/A
15,purplecactus,0.52,76.8,47.35,28.63,66.15,44.49,N/A,N/A,N/A,N/A
16,bobabooyah,0.58,75.48,55.54,34.29,57.29,30.22,N/A,N/A,N/A,N/A
17,senor brightside,0.53,74.81,47.98,17.77,72.91,33.95,Senor Brightside#2159,Senor Brightside,C:/Users/Q's/Python Stuff/Triton-Replay-Bot/TritonRL-ScoreBot/assets/playercard_imgs/Senor Brightside#2159.png,Grand Champion I
18,jbassfox,0.42,74.56,39.45,30.19,62.57,38.71,N/A,N/A,N/A,N/A
19,scootleboot,0.36,74.49,46.06,44.12,46.31,33.87,N/A,N/A,N/A,N/A
20,tux,0.2,73.9,52.95,23.61,61.72,28.0,N/A,N/A,N/A,N/A
21,graham cracker,0.25,73.44,31.82,15.87,74.47,40.92,N/A,N/A,N/A,N/A
22,monkeylicous,0.5,70.28,32.58,13.9,36.78,57.6,N/A,N/A,N/A,N/A
23,waycey,0.62,69.59,28.84,53.28,17.49,36.42,Waycey#9999,Waycey,C:/Users/Q's/Python Stuff/Triton-Replay-Bot/TritonRL-ScoreBot/assets/playercard_imgs/Waycey#9999.png,Champion I
24,luke,0.58,67.84,31.66,38.55,45.57,8.05,N/A,N/A,N/A,N/A
25,renshiro k,0.39,66.96,18.65,30.8,26.11,42.05,N/A,N/A,N/A,N/A
26,dazedrex69,0.42,65.44,19.01,21.48,39.98,26.53,N/A,N/A,N/A,N/A
27,pastamafia,0.6,62.96,0.0,67.95,6.37,15.26,N/A,N/A,N/A,N/A
28,nx2 madison,0.54,59.8,6.37,0.0,0.0,61.1,N/A,N/A,N/A,N/A
29,tgolden,0.2,58.0,20.55,23.49,10.8,0.0,N/A,N/A,N/A,N/A
