team name;player name;games;wins;win percentage;score;score per game;goals;goals per game;assists;assists per game;saves;saves per game;shots;shots per game;shots conceded;shots conceded per game;goals conceded;goals conceded per game;goals conceded while last defender;goals conceded while last defender per game;shooting percentage;bpm per game;avg boost amount per game;amount collected;amount collected per game;amount collected big pads;amount collected big pads per game;amount collected small pads;amount collected small pads per game;count collected big pads;count collected big pads per game;count collected small pads;count collected small pads per game;amount stolen;amount stolen per game;amount stolen big pads;amount stolen big pads per game;amount stolen small pads;amount stolen small pads per game;count stolen big pads;count stolen big pads per game;count stolen small pads;count stolen small pads per game;0 boost time;0 boost time per game;100 boost time;100 boost time per game;amount used while supersonic;amount used while supersonic per game;amount overfill total;amount overfill total per game;amount overfill stolen;amount overfill stolen per game;avg speed per game;total distance;total distance per game;time slow speed;time slow speed per game;time boost speed;time boost speed per game;time supersonic speed;time supersonic speed per game;time on ground;time on ground per game;time low in air;time low in air per game;time high in air;time high in air per game;time powerslide;time powerslide per game;avg powerslide time per game;count powerslide;count powerslide per game;time most back;time most back per game;time most forward;time most forward per game;time in front of ball;time in front of ball per game;time behind ball;time behind ball per game;time defensive half;time defensive half per game;time offensive half;time offensive half per game;time defensive third;time defensive third per game;time neutral third;time neutral third per game;time offensive third;time offensive third per game;avg distance to ball per game;avg distance to ball has possession per game;avg distance to ball no possession per game;demos inflicted;demos inflicted per game;demos taken;demos taken per game
TACTICALBACKFLIP;Anomynion;36;20;55.56;8402;233.39;23;0.64;15;0.42;22;0.61;49;1.36;245;6.81;84;2.33;22;0.61;46.94;310.31;51.58;67825;1884.03;42666;1185.17;25159;698.86;500;13.89;2197;61.03;11481;318.92;5376;149.33;6105;169.58;66;1.83;525;14.58;1127.22;31.31;1237.34;34.37;3598;99.94;7541;209.47;1288;35.78;1303.23;16088032;446889.78;8014.36;222.62;4363.34;121.2;787.1;21.86;8678.88;241.08;4205.46;116.82;280.42;7.79;398.75;11.08;0.2;1984;55.11;5339.2;148.31;3373.5;93.71;2940.08;81.67;10224.67;284.02;9454.81;262.63;3709.99;103.06;7271.61;201.99;3981.12;110.59;1912.03;53.11;3374.04;3484.35;3268.69;10;0.28;26;0.72
OC;Beluga RL;2;1;50.00;837;418.5;2;1;2;1;3;1.5;8;4;16;8;4;2;1;0.5;25;422.33;46.17;4476;2238;3469;1734.5;1007;503.5;40;20;86;43;1452;726;1190;595;262;131;13;6.5;25;12.5;94;47;74.92;37.46;967;483.5;546;273;108;54;1633.9;1041940;520970;261.87;130.93;296.15;148.08;117.76;58.88;384.6;192.3;266.92;133.46;24.25;12.12;10.17;5.09;0.08;134;67;163.2;81.6;274;137;204.44;102.22;471.35;235.68;385.43;192.71;290.36;145.18;273.59;136.79;213.42;106.71;188.77;94.39;2912.39;2713.66;3077.7;4;2;3;1.5
ONLYCHAMPZ;Beluga Yeezys;27;7;25.93;10535;390.19;18;0.67;12;0.44;50;1.85;65;2.41;222;8.22;68;2.52;25;0.93;27.69;401.77;45.12;65444;2423.85;50587;1873.59;14857;550.26;582;21.56;1256;46.52;13335;493.89;9524;352.74;3811;141.15;113;4.19;336;12.44;2041.45;75.61;938.81;34.77;10962;406;7589;281.07;1707;63.22;1586.96;15527150;575079.62;4284.6;158.69;4287.22;158.79;1733.3;64.2;5629.88;208.51;4241.81;157.1;433.38;16.05;215.11;7.97;0.09;2354;87.19;2825;104.63;3802.4;140.83;2823.78;104.58;7481.33;277.09;6846.49;253.57;3458.64;128.1;5281.48;195.61;2956.25;109.49;2067.43;76.57;2870.76;2718.2;2991.28;44;1.63;22;0.81
PUMPKIN SPICED;Brictone;26;15;57.69;8374;322.08;24;0.92;12;0.46;22;0.85;70;2.69;189;7.27;56;2.15;19;0.73;34.29;372.3;47.21;56365;2167.88;35781;1376.19;20584;791.69;437;16.81;1785;68.65;13689;526.5;7833;301.27;5856;225.23;92;3.54;509;19.58;868.7;33.41;695.39;26.75;6501;250.04;6438;247.62;944;36.31;1495.96;13046173;501775.88;4447.53;171.06;3863.12;148.58;937.65;36.06;5809.82;223.45;3120.04;120;318.44;12.25;216;8.31;0.1;2059;79.19;2640.1;101.54;3173.2;122.05;2839.31;109.2;6408.97;246.5;5918.28;227.63;3330.02;128.08;4355.23;167.51;2962.13;113.93;1930.91;74.27;2833.65;2697.07;2949.66;9;0.35;20;0.77
DROWN YOUR FISH;CadenS197;29;22;75.86;9282;320.07;17;0.59;19;0.66;37;1.28;63;2.17;162;5.59;44;1.52;11;0.38;26.98;284.14;51.84;49636;1711.59;33156;1143.31;16480;568.28;402;13.86;1466;50.55;6833;235.62;2947;101.62;3886;134;37;1.28;357;12.31;806.39;27.81;988.42;34.08;4972;171.45;7414;255.66;816;28.14;1412.66;13773672;474954.22;5480.24;188.97;4127.81;142.34;688.42;23.74;6863.5;236.67;3124.91;107.76;308.05;10.62;230.72;7.96;0.14;1615;55.69;4596.2;158.49;2556;88.14;2158.52;74.43;8137.91;280.62;7205.45;248.46;3091.03;106.59;5531.56;190.74;3065.46;105.71;1699.41;58.6;3228.76;3254.16;3213.01;15;0.52;20;0.69
MF;Chyaboi;32;19;59.38;13544;423.25;30;0.94;15;0.47;48;1.5;95;2.97;201;6.28;69;2.16;23;0.72;31.58;447.24;52.17;85789;2680.91;64712;2022.25;21077;658.66;786;24.56;1813;56.66;16337;510.53;10486;327.69;5851;182.84;126;3.94;485;15.16;1268.43;39.64;1423.96;44.5;11612;362.88;9536;298;1142;35.69;1510.16;16847812;526494.12;5557.78;173.68;4552.72;142.27;1684.22;52.63;6913.92;216.06;4325.19;135.16;555.6;17.36;276.72;8.65;0.11;2467;77.09;4299.7;134.37;3469.5;108.42;3001.97;93.81;8792.77;274.77;7979.66;249.36;3815.05;119.22;5939.47;185.61;3791.97;118.5;2063.22;64.48;2858.87;2675.49;3047.28;32;1;20;0.62
WF;Coldshot;3;1;33.33;1029;343;2;0.67;2;0.67;6;2;5;1.67;22;7.33;5;1.67;3;1;40;375.18;54.2;6863;2287.67;5599;1866.33;1264;421.33;68;22.67;114;38;1563;521;1055;351.67;508;169.33;13;4.33;45;15;99.85;33.28;213.52;71.17;916;305.33;1267;422.33;268;89.33;1482.1;1464474;488158;521.59;173.86;423.52;141.17;105.18;35.06;670.71;223.57;311.26;103.75;68.31;22.77;11.86;3.95;0.15;81;27;340.6;113.53;401.6;133.87;312.05;104.02;738.24;246.08;629.45;209.82;420.84;140.28;479.28;159.76;312.63;104.21;258.38;86.13;3157.38;3045.54;3266.3;3;1;2;0.67
ONLYCHAMPZ;DreamZ;29;8;27.59;10354;357.03;20;0.69;13;0.45;33;1.14;92;3.17;238;8.21;72;2.48;25;0.86;21.74;454.83;47.4;83421;2876.59;63336;2184;20085;692.59;748;25.79;1662;57.31;15040;518.62;10325;356.03;4715;162.59;115;3.97;398;13.72;1848.61;63.75;1186.77;40.92;11602;400.07;9773;337;808;27.86;1542.8;16091601;554882.81;4747.06;163.69;4521.82;155.92;1731.35;59.7;6552.03;225.93;4082.37;140.77;365.84;12.62;188.03;6.48;0.12;1545;53.28;3341.1;115.21;3642;125.59;2733.43;94.26;8266.82;285.06;7719.1;266.18;3281.13;113.14;6051.22;208.66;3043.26;104.94;1905.77;65.72;3257.4;3197.39;3307.85;30;1.03;20;0.69
DROWN YOUR FISH;Glacidus;29;22;75.86;11405;393.28;29;1;22;0.76;30;1.03;105;3.62;162;5.59;44;1.52;15;0.52;27.62;316.81;49.66;54083;1864.93;36064;1243.59;18019;621.34;437;15.07;1538;53.03;14173;488.72;8366;288.48;5807;200.24;102;3.52;498;17.17;1011.65;34.88;847.62;29.23;3970;136.9;6960;240;1625;56.03;1452.31;14154675;488092.25;5112.57;176.3;4251.36;146.6;927.55;31.98;5630.89;194.17;4243.33;146.32;417.14;14.38;237.58;8.19;0.09;2668;92;2869.8;98.96;3634.2;125.32;2930.29;101.04;7361.11;253.83;6173.13;212.87;4118.17;142.01;4449.42;153.43;3499.22;120.66;2342.71;80.78;2808.9;2712.87;2900.15;15;0.52;22;0.76
MF;Hesty;9;4;44.44;2444;271.56;5;0.56;3;0.33;7;0.78;19;2.11;62;6.89;28;3.11;11;1.22;26.32;400.17;52;20908;2323.11;15937;1770.78;4971;552.33;193;21.44;441;49;5472;608;4047;449.67;1425;158.33;50;5.56;124;13.78;368.3;40.92;499.68;55.52;2048;227.56;3565;396.11;952;105.78;1483.32;4416877;490764.12;1569.95;174.44;1227.58;136.4;391.47;43.5;1727.73;191.97;1322.24;146.92;138.98;15.44;58.88;6.54;0.17;342;38;749.8;83.31;1310.1;145.57;1172.69;130.3;2016.28;224.03;1969.69;218.85;1219.29;135.48;1481.93;164.66;943.12;104.79;763.94;84.88;2659.25;2481.44;2808.43;4;0.44;10;1.11
